component_id_start,component_id_end,link
transactions-flow.component,modal-customer-item-number.component,Customer Item Number
transactions-flow.component,modal-average-demand.component,onShowModalAverageDemand(index: number)
transactions-flow-modal-details.component,forecast-modal-details.component,Type
transactions-flow-modal-details.component,manufacturing-order-modal-details.component,Type
transactions-flow-modal-details.component,purchase-order-modal-details.component,Type
transactions-flow-modal-details.component,sales-order-modal-details.component,Type
transactions-flow-modal-details.component,table.component,html
purchase-order.component,purchase-order-table.component,@ViewChild('table')
purchase-order.component,purchase-order-table.component,html
purchase-order.component,abstract-job.component,extends
purchase-order.component,modal-yes-no.component,onShowModalDelete(index: number)
purchase-order.component,purchase-order-modal-new.component,onShowModalNew()
purchase-order.component,purchase-order-modal-new.component,onShowModalEdit(index: number)
purchase-order.component,job-progress.component,html
purchase-order-modal-new.component,modal-yes-no.component,onShowModalDeleteDetail(i: number)
purchase-order-modal-new.component,auto-complete.component,html
purchase-order-modal-new.component,auto-complete.component,html
purchase-order-modal-new.component,auto-complete.component,html
purchase-order-modal-new.component,auto-complete.component,html
purchase-order-modal-new.component,auto-complete.component,html
purchase-order-modal-new.component,auto-complete.component,html
purchase-order-table.component,collapse-table.component,@ViewChild('collapseTable')
purchase-order-table.component,collapse-table.component,html
purchase-order-table.component,supplier-master-modal-new.component,Supplier Name + Supplier Number
purchase-order-table.component,warehouse-master-modal-new.component,Warehouse Name + Warehouse Number
purchase-order-table.component,purchase-order-modal-containing-item.component,Item Number + Item Description
purchase-order-table.component,purchase-order-modal-details.component,Purchase Order
purchase-order-modal-details.component,table.component,@ViewChild('table')
purchase-order-modal-details.component,table.component,html
purchase-order-modal-details.component,table.component,html
purchase-order-modal-details.component,abstract-modal.component,extends
purchase-order-modal-details.component,supplier-master-modal-new.component,Supplier Name + Supplier Number
purchase-order-modal-containing-item.component,table.component,@ViewChild('table')
purchase-order-modal-containing-item.component,table.component,html
purchase-order-modal-containing-item.component,table.component,html
purchase-order-modal-containing-item.component,supplier-master-modal-new.component,Supplier Name + Supplier Number
purchase-order-modal-containing-item.component,purchase-order-modal-details.component,Purchase Order
dashboard-sales-at-risk.component,dashboard-sales-at-risk-analytics.component,html
dashboard-sales-at-risk.component,dashboard-sales-at-risk-table-view.component,html
dashboard-sales-at-risk-analytics.component,modal-table.component,onClick(event: IBarSample)
dashboard-sales-at-risk-analytics.component,tags-input.component,html
dashboard-sales-at-risk-analytics.component,vertical-bar-plot.component,html
dashboard-sales-at-risk-table-view.component,tags-input.component,@Input() tagsComponentExternal
dashboard-sales-at-risk-table-view.component,sales-order.component,html
dashboard-sales-at-risk-table-view.component,sales-order-table.component,html
admin-users.component,table.component,@ViewChild('table')
admin-users.component,table.component,html
admin-users.component,modal-yes-no.component,onShowModalDelete(index: number)
admin-users.component,admin-users-modal-new.component,openModalNew()
admin-users.component,admin-roles-modal-new.component,Role Name
dashboard-heatmap.component,tags-input.component,@ViewChild('tagsComponent')
dashboard-heatmap.component,tags-input.component,html
dashboard-heatmap.component,dashboard-heatmap-items-modal.component,onClickCell(event: string)
dashboard-heatmap.component,calendar-heatmap.component,html
dashboard-heatmap.component,three-dots-menu.component,html
dashboard-heatmap-items-modal.component,table.component,@ViewChild('table')
dashboard-heatmap-items-modal.component,table.component,html
dashboard-heatmap-items-modal.component,table.component,html
dashboard-heatmap-items-modal.component,forecast-modal-containing-item.component,Forecast Quantity
dashboard-heatmap-items-modal.component,manufacturing-order-modal-containing-item.component,Manufacturing Quantity
dashboard-heatmap-items-modal.component,modal-ending-inventory.component,Ending Inventory Quantity
dashboard-heatmap-items-modal.component,purchase-order-modal-containing-item.component,Supply Quantity
dashboard-heatmap-items-modal.component,sales-order-modal-containing-item.component,Demand Quantity
external-item-master.component,collapse-table.component,@ViewChild('table')
external-item-master.component,collapse-table.component,html
external-item-master.component,abstract-job.component,extends
external-item-master.component,modal-yes-no.component,onShowModalDelete(index: number)
external-item-master.component,external-item-master-modal-new.component,openModalNew()
external-item-master.component,job-progress.component,html
external-item-master-modal-new.component,modal-yes-no.component,onShowModalDeleteExternalItem(i: number)
external-item-master-modal-new.component,auto-complete.component,html
external-item-master-modal-new.component,auto-complete.component,html
unit-master.component,unit-master-modal-new.component,@ViewChild('modalUnit')
unit-master.component,unit-master-modal-new.component,html
unit-master.component,table.component,@ViewChild('table')
unit-master.component,table.component,html
unit-master.component,abstract-job.component,extends
unit-master.component,modal-yes-no.component,onShowModalDelete(index: number)
unit-master.component,job-progress.component,html
home-graphs.component,home-modal-hot-items.component,onClickHotItems()
home-graphs.component,dashboard-demand-by-item-and-status.component,html
home-graphs.component,dashboard-procurement-by-item-and-status.component,html
home-graphs.component,dashboard-manufacturing-by-item-and-status.component,html
home-graphs.component,dashboard-manufacturing-by-item-and-status.component,html
home-graphs.component,dashboard-forecast-by-item.component,html
home-graphs.component,dashboard-inventory-by-warehouse.component,html
home-modal-hot-items.component,abstract-modal.component,extends
home-modal-hot-items.component,inventory-planning-table.component,@ViewChild('table') table: InventoryPlanningTableComponent;)
home-modal-hot-items.component,inventory-planning-table.component,html
home-modal-hot-items.component,inventory-planning.component,html
home-modal-hot-items.component,inventory.component,html
dashboard-manufacturing-by-item-and-status.component,manufacturing-order-modal-bom.component,direct
dashboard-manufacturing-by-item-and-status.component,horizontal-stacked-bar-plot.component,html
dashboard-spend-analysis.component,tags-input.component,@ViewChild('tagsComponent')
dashboard-spend-analysis.component,tags-input.component,html
dashboard-spend-analysis.component,dashboard-spend-analysis-procurement-by-item.component,html
dashboard-spend-analysis.component,dashboard-spend-analysis-procurement-by-supplier.component,html
dashboard-spend-analysis.component,dashboard-spend-analysis-procurement-trend-by-item.component,html
dashboard-spend-analysis.component,date-range-slider.component,html
dashboard-spend-analysis-procurement-by-item.component,modal-procurement-by-price.component,onClick(event: IBarSample)
dashboard-spend-analysis-procurement-by-item.component,horizontal-bar-plot.component,html
dashboard-spend-analysis-procurement-by-supplier.component,dashboard-spend-analysis-procurement-by-item-modal.component,onClick(event: IBarSample)
dashboard-spend-analysis-procurement-by-supplier.component,horizontal-bar-plot.component,html
dashboard-spend-analysis-procurement-by-item-modal.component,modal-procurement-by-price.component,onClick(event: IBarSample)
dashboard-spend-analysis-procurement-by-item-modal.component,horizontal-bar-plot.component,html
dashboard-spend-analysis-procurement-by-item-modal.component,date-range-slider.component,html
dashboard-spend-analysis-procurement-trend-by-item.component,dashboard-spend-analysis-procurement-trend-by-item-and-price-modal.component,onClick(event: IBarSample)
dashboard-spend-analysis-procurement-trend-by-item.component,dashboard-trend-by-spend.component,html
dashboard-spend-analysis-procurement-trend-by-item-and-price-modal.component,table.component,@ViewChild('table')
dashboard-spend-analysis-procurement-trend-by-item-and-price-modal.component,table.component,html
manufacturing-order-archive.component,manufacturing-order-modal-new.component,onShowModalEdit(index: number)
manufacturing-order-archive.component,manufacturing-order-table.component,@ViewChild('table')
manufacturing-order-archive.component,manufacturing-order-table.component,html
manufacturing-order-archive.component,manufacturing-order.component,html
modal-customers.component,abstract-modal.component,extends
modal-customers.component,customer-master-table.component,@ViewChild('table') table: CustomerMasterTableComponent;)
modal-customers.component,customer-master-table.component,html
modal-customers.component,customer-master.component,html
modal-statistical-analysis.component,tags-input.component,@ViewChild('tagsComponent')
modal-statistical-analysis.component,tags-input.component,html
modal-statistical-analysis.component,supply-statistical-analysis.component,html
modal-statistical-analysis.component,demand-statistical-analysis.component,html
modal-statistical-analysis.component,three-dots-menu.component,html
modal-statistical-analysis.component,table.component,html
modal-statistical-analysis.component,date-range-slider.component,html
modal-average-lead-time.component,modal-lead-time-histogram.component,onClick(event: IBarSample)
modal-average-lead-time.component,horizontal-bar-plot.component,html
modal-total-suppliers.component,horizontal-bar-plot.component,@ViewChild('leadTimePlot') leadTimePlot: HorizontalBarPlotComponent;)
modal-total-suppliers.component,horizontal-bar-plot.component,@ViewChild('valuePlot') valuePlot: HorizontalBarPlotComponent;)
modal-total-suppliers.component,horizontal-bar-plot.component,html
modal-total-suppliers.component,horizontal-bar-plot.component,html
modal-total-suppliers.component,modal-purchase-orders.component,onClick(event: IBarSample)
supply-statistical-analysis.component,modal-purchase-orders.component,onClickPurchaseOrders()
supply-statistical-analysis.component,modal-purchase-orders.component,onClickMaxLeadTime()
supply-statistical-analysis.component,modal-purchase-orders.component,onClickMinLeadTime()
supply-statistical-analysis.component,modal-total-suppliers.component,onClickSuppliers()
supply-statistical-analysis.component,modal-lead-time-histogram.component,onClickLeadTimeHistogram()
supply-statistical-analysis.component,modal-average-lead-time.component,onClickAverageLeadTime()
demand-statistical-analysis.component,modal-sales-orders.component,onClickSalesOrders()
demand-statistical-analysis.component,modal-total-customers.component,onClickCustomers()
demand-statistical-analysis.component,modal-average-demand.component,onClickAverageDemand()
demand-statistical-analysis.component,modal-demand-histogram.component,onClickDemandHistogram()
modal-average-demand.component,modal-sales-orders.component,onClick(event: IBarSample)
modal-average-demand.component,vertical-bar-plot.component,html
modal-total-customers.component,modal-sales-orders.component,onClick(event: IBarSample)
modal-total-customers.component,horizontal-bar-plot.component,html
dashboard-procurement-items-from-the-same-supplier.component,horizontal-bar-plot.component,@ViewChild('plot')
dashboard-procurement-items-from-the-same-supplier.component,horizontal-bar-plot.component,html
dashboard-procurement-items-from-the-same-supplier.component,dashboard-procurement-items-frequency-modal.component,onClick(event: IBarSample)
