component_id,endpoint_id,http_call,params
modal-average-demand.component,/statistical-analysis,this.http.get<IStatisticalAnalysisAverageDemandGETResponse>(`${ /statistical-analysis }/average-demand`; options);,getAverageDemand(search: ISearchArgs; type: string; bucket: string; start: string; end: string)
modal-total-customers.component,/statistical-analysis,this.http.get<IStatisticalAnalysisDemandByCustomerGETResponse>(`${ /statistical-analysis }/demand-by-customer`; options);,getDemandByCustomer(search: ISearchArgs; type: string)
dashboard-procurement-items-from-the-same-supplier.component,/dashboard-procurement-items-from-the-same-supplier,this.http.get<IDashboardProcurementItemsFromTheSameSupplierGETResponse>(/dashboard-procurement-items-from-the-same-supplier; options);,itemsFromTheSameSupplier(search: ISearchArgs; group: number)
dashboard-procurement-items-frequency-modal.component,/dashboard-procurement-items-frequency,this.http.get<IDashboardProcurementItemsFrequencyGETResponse>(/dashboard-procurement-items-frequency; options);,itemsFrequency(search: ISearchArgs)
dashboard-procurement-items-on-the-same-po.component,/dashboard-procurement-items-on-the-same-po,this.http.get<IDashboardProcurementItemsOnTheSamePOGETResponse>(/dashboard-procurement-items-on-the-same-po; options);,itemsOnTheSamePO(search: ISearchArgs; group: number)
dashboard-world-map.component,/dashboard-world-map,this.http.get<IDashboardWorldMapGETResponse>(/dashboard-world-map; this.httpOptions);,getDashboardWorldMap()
modal-purchase-orders.component,/dashboard-analytics-purchase-orders,this.http.get<IDashboardAnalyticsPurchaseOrders>(/dashboard-analytics-purchase-orders; this.httpOptions);,getDashboardAnalyticsPurchaseOrders(search?: ISearchArgs)
dashboard-analytics-purchase-orders.component,/dashboard-analytics-purchase-orders,this.http.get<IDashboardAnalyticsPurchaseOrders>(/dashboard-analytics-purchase-orders; this.httpOptions);,getDashboardAnalyticsPurchaseOrders(search?: ISearchArgs)
dashboard-revenue-by-item.component,/dashboard-revenue-by-item,this.http.get<IDashboardRevenueByItemGETResponse>(/dashboard-revenue-by-item; options);,getDashboardRevenueByItem(search: ISearchArgs; type: string; itemID?: number)
dashboard-revenue-by-customer-modal.component,/dashboard-revenue-by-item,this.http.get<IDashboardRevenueByItemGETResponse>(/dashboard-revenue-by-item; options);,getDashboardRevenueByItem(search: ISearchArgs; type: string; itemID?: number)
dashboard-statistics.component,/dashboard-statistics,this.http.get<IDashboardStatistics>(/dashboard-statistics; this.httpOptions);,getDashboardStatistics(search?: ISearchArgs)
dashboard-analytics-sales-orders.component,/dashboard-analytics-sales-orders,this.http.get<IDashboardAnalyticsSalesOrders>(/dashboard-analytics-sales-orders; this.httpOptions);,getDashboardAnalyticsSalesOrders(search?: ISearchArgs)
dashboard-revenue-by-customer.component,/dashboard-revenue-by-customer,this.http.get<IDashboardRevenueByCustomerGETResponse>(/dashboard-revenue-by-customer; options);,getDashboardRevenueByCustomer(search: ISearchArgs; type: string; customerID?: number)
dashboard-revenue-by-item-modal.component,/dashboard-revenue-by-customer,this.http.get<IDashboardRevenueByCustomerGETResponse>(/dashboard-revenue-by-customer; options);,getDashboardRevenueByCustomer(search: ISearchArgs; type: string; customerID?: number)
dashboard-spend-by-supplier.component,/dashboard-spend-by-supplier,this.http.get<IDashboardSpendBySupplierGETResponse>(/dashboard-spend-by-supplier; options);,getDashboardSpendBySupplier(search: ISearchArgs; type: string; supplierID?: number)
dashboard-spend-by-item-modal.component,/dashboard-spend-by-supplier,this.http.get<IDashboardSpendBySupplierGETResponse>(/dashboard-spend-by-supplier; options);,getDashboardSpendBySupplier(search: ISearchArgs; type: string; supplierID?: number)
dashboard-spend-by-item.component,/dashboard-spend-by-item,this.http.get<IDashboardSpendByItemGETResponse>(/dashboard-spend-by-item; options);,getDashboardSpendByItem(search: ISearchArgs; type: string; itemID?: number)
dashboard-spend-by-supplier-modal.component,/dashboard-spend-by-item,this.http.get<IDashboardSpendByItemGETResponse>(/dashboard-spend-by-item; options);,getDashboardSpendByItem(search: ISearchArgs; type: string; itemID?: number)
sales-order.component,url,this.http.delete(url; this.httpOptions);,delete(id: number)
sales-order.component,/job,this.http.post(`${ /job }/${ job }`; postData; this.httpOptions);,post(job: string; data?: FormData)
sales-order.component,/templates,this.http.post(/templates; data; this.httpOptionsFile);,postTemplates(data: ITemplateType)
sales-order-modal-details.component,/sales-order,this.http.get<ISalesOrderGETResponse>(/sales-order; options);,get(search: ISearchArgs; scenario?: number)
sales-order-modal-details.component,/sales-order,this.http.get<ISalesOrderDetailsGETResponse>(/sales-order; options);,getDetails(id?: number; search?: ISearchArgs; scenario?: number)
sales-order-modal-containing-item.component,/scenario-analysis,this.http.get(/scenario-analysis; options);,get(search: ISearchArgs)
sales-order-modal-containing-item.component,/scenario-analysis-sales-order-item,this.http.get<ISalesOrderItemGETResponse>(`${ /scenario-analysis-sales-order-item }/${ scenarioID }/${ itemID }`; options);,getSalesOrderItem(scenarioID: number; itemID: number; search: ISearchArgs)
sales-order-modal-containing-item.component,/sales-order,this.http.get<ISalesOrderGETResponse>(/sales-order; options);,get(search: ISearchArgs; scenario?: number)
sales-order-modal-containing-item.component,/sales-order-item,this.http.get<ISalesOrderItemGETResponse>(`${ /sales-order-item }/${ id }`; options);,getItem(id: number; search: ISearchArgs)
sales-order-modal-new.component,/sales-order,this.http.get<ISalesOrderGETResponse>(/sales-order; options);,get(search: ISearchArgs; scenario?: number)
sales-order-modal-new.component,/sales-order,this.http.get<ISalesOrderDetailsGETResponse>(/sales-order; options);,getDetails(id?: number; search?: ISearchArgs; scenario?: number)
sales-order-modal-new.component,/sub-item-master,this.http.get<ISubItemMasterGETResponse>(/sub-item-master; options);,getSubItemMaster(search: ISearchArgs)
sales-order-modal-new.component,/item-master,this.http.get<IItemMasterGETResponse>(/item-master; options);,getItemMaster(search: ISearchArgs)
